SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit,score
1128,15,30,10,35,60,14,2.5,1.5,1.5,1.0,20,55,0.6660760364788698,-0.156697512402801,8133999.999999985,0.5877272802774693
2073,15,40,18,40,65,21,2.0,1.5,2.0,1.4,20,45,0.6619890165583971,-0.1505103685398086,7238000.0,0.5867338322884929
968,5,30,10,40,50,21,3.5,1.5,1.0,0.8,5,45,0.6995138453635046,-0.226547143320013,10530999.999999983,0.5862402737034981
342,10,30,18,45,55,21,2.5,1.0,2.0,1.0,5,55,0.6716988006337734,-0.1719923782824852,9175999.999999983,0.5857026114925308
1484,5,30,10,40,60,14,3.5,1.5,2.0,0.8,10,45,0.6898594690193073,-0.208417500943417,10006999.99999997,0.5856507185475988
2182,12,40,14,40,60,14,1.5,1.5,1.5,1.0,10,55,0.6687425229341547,-0.1673853811332087,8655000.000000022,0.5850498323675504
341,10,25,18,40,50,10,2.5,1.0,1.0,0.8,5,50,0.6517911688798805,-0.1349710544003814,8928000.000000007,0.5843056416796898
70,5,30,14,45,55,21,3.5,0.5,1.5,0.8,10,45,0.6907746329737732,-0.2156050598902944,10100999.999999965,0.582972103028626
1343,5,30,10,30,55,14,2.5,1.0,1.5,1.0,10,55,0.6754637271630175,-0.1862274040723069,8520999.999999963,0.5823500251268641
148,15,25,10,30,55,14,3.0,2.0,1.5,0.8,5,55,0.6644224102224966,-0.1675656114835173,8539000.0,0.5806396044807379
872,15,35,14,45,50,10,1.5,1.5,2.0,1.0,15,45,0.684765523111388,-0.2083001902126926,9117999.999999983,0.5806154280050417
146,10,20,14,45,50,14,5.0,0.5,1.5,1.2,5,50,0.6490359893341475,-0.1376847640704946,8537999.999999985,0.5801936072989002
1192,12,30,10,40,55,10,3.5,1.0,2.0,1.0,10,50,0.6849601400854252,-0.21008366836901,9334999.999999983,0.5799183059009202
1622,8,25,10,25,50,21,3.0,1.5,1.5,1.0,5,50,0.7105734092873183,-0.2622662450526666,9866999.999999993,0.5794402867609849
1618,10,40,14,45,65,14,2.0,0.5,1.5,1.4,10,45,0.6559667908814987,-0.1570541059527842,7592999.999999985,0.5774397379051066
278,5,20,18,45,55,21,4.5,2.0,1.5,1.0,15,55,0.6590007695775428,-0.1656005545103478,9249999.999999978,0.5762004923223689
847,15,30,18,30,55,10,2.5,1.5,1.5,1.4,20,55,0.6847910229129501,-0.2180340503047709,7846000.0,0.5757739977605647
62,12,40,10,30,55,14,1.5,1.5,1.5,1.2,15,50,0.6713884964391846,-0.1916551464119642,7820000.0,0.5755609232332025
950,8,30,10,30,65,21,3.5,0.5,2.0,1.4,5,55,0.6655105975922466,-0.1805798966213368,7489999.999999993,0.5752206492815782
1702,15,40,10,35,50,10,3.0,2.0,2.0,1.4,10,45,0.6585133678605967,-0.1700425106276567,7633000.0,0.5734921125467684
