,Date,Time,tickersymbol,Open,Close,High,Low,Volume
2668,2025-03-26,14:30:00,VN30F2504,1379.1,1379.1,1379.1,1379.1,2
2669,2025-03-27,09:00:00,VN30F2504,1374.8,1375.7,1375.7,1374.2,253
2670,2025-03-27,09:05:00,VN30F2504,1375.7,1375.2,1375.7,1375.2,239
2671,2025-03-27,09:10:00,VN30F2504,1375.1,1375.6,1375.9,1375.1,227
2672,2025-03-27,09:15:00,VN30F2504,1375.6,1375.9,1376.9,1375.5,180
2673,2025-03-27,09:20:00,VN30F2504,1375.9,1376.0,1376.1,1375.2,261
2674,2025-03-27,09:25:00,VN30F2504,1376.1,1377.2,1377.7,1376.0,248
2675,2025-03-27,09:30:00,VN30F2504,1377.1,1377.3,1377.7,1376.0,195
2676,2025-03-27,09:35:00,VN30F2504,1377.2,1376.8,1377.5,1376.3,224
2677,2025-03-27,09:40:00,VN30F2504,1376.9,1376.9,1377.1,1376.4,288
2678,2025-03-27,09:45:00,VN30F2504,1376.7,1375.8,1376.8,1374.7,373
2679,2025-03-27,09:50:00,VN30F2504,1375.8,1375.3,1375.8,1374.6,131
2680,2025-03-27,09:55:00,VN30F2504,1375.6,1376.5,1376.5,1375.6,256
2681,2025-03-27,10:00:00,VN30F2504,1376.5,1376.6,1376.9,1375.9,203
2682,2025-03-27,10:05:00,VN30F2504,1376.7,1376.8,1376.9,1376.2,77
2683,2025-03-27,10:10:00,VN30F2504,1377.1,1376.7,1377.1,1376.2,204
2684,2025-03-27,10:15:00,VN30F2504,1376.8,1375.2,1377.3,1375.2,189
2685,2025-03-27,10:20:00,VN30F2504,1375.4,1375.1,1375.9,1374.9,257
2686,2025-03-27,10:25:00,VN30F2504,1374.9,1375.4,1375.5,1374.7,117
2687,2025-03-27,10:30:00,VN30F2504,1375.5,1375.4,1375.5,1374.6,148
