Minute,tickersymbol,High,Low,Close,Volume,Open
2022-12-14 10:33,VN30F2301,1068.00,1049.20,1059.00,3902,1059.00
2022-12-14 10:34,VN30F2212,1071.30,1048.50,1059.60,110139,1059.60
2022-12-14 10:34,VN30F2301,1068.00,1049.20,1059.00,3958,1059.00
2022-12-14 10:34,VN30F2306,1048.80,1032.00,1038.60,51,1038.60
2022-12-14 10:35,VN30F2212,1071.30,1048.50,1059.60,110718,1059.60
2022-12-14 10:35,VN30F2301,1068.00,1049.20,1059.00,3968,1059.00
2022-12-14 10:36,VN30F2212,1071.30,1048.50,1059.60,111317,1059.60
2022-12-14 10:36,VN30F2301,1068.00,1049.20,1059.00,3976,1059.00
2022-12-14 10:37,VN30F2212,1071.30,1048.50,1059.60,112234,1059.60
2022-12-14 10:37,VN30F2301,1068.00,1049.20,1059.00,3990,1059.00
2022-12-14 10:38,VN30F2212,1071.30,1048.50,1059.60,112985,1059.60
2022-12-14 10:38,VN30F2301,1068.00,1049.20,1059.00,4024,1059.00
2022-12-14 10:38,VN30F2303,1055.10,1041.00,1047.30,78,1047.30
2022-12-14 10:39,VN30F2212,1071.30,1048.50,1059.60,113734,1059.60
2022-12-14 10:39,VN30F2301,1068.00,1049.20,1059.00,4057,1059.00
2022-12-14 10:40,VN30F2212,1071.30,1048.50,1059.60,116501,1059.60
2022-12-14 10:40,VN30F2301,1068.00,1049.20,1059.00,4133,1059.00
2022-12-14 10:41,VN30F2212,1071.30,1048.50,1059.60,119120,1059.60
2022-12-14 10:41,VN30F2301,1068.00,1049.20,1059.00,4180,1059.00
2022-12-14 10:42,VN30F2212,1071.30,1048.50,1059.60,120698,1059.60
2022-12-14 10:42,VN30F2301,1068.00,1049.20,1059.00,4225,1059.00
2022-12-14 10:43,VN30F2212,1071.30,1048.50,1059.60,122615,1059.60
2022-12-14 10:43,VN30F2301,1068.00,1049.20,1059.00,4294,1059.00
2022-12-14 10:44,VN30F2212,1071.30,1048.50,1059.60,125378,1059.60
2022-12-14 10:44,VN30F2301,1068.00,1049.20,1059.00,4400,1059.00
2022-12-14 10:44,VN30F2303,1055.10,1041.00,1047.30,79,1047.30
2022-12-14 10:44,VN30F2306,1048.80,1032.00,1038.60,53,1038.60
2022-12-14 10:45,VN30F2212,1071.30,1048.50,1059.60,127139,1059.60
2022-12-14 10:45,VN30F2301,1068.00,1049.20,1059.00,4516,1059.00
2022-12-14 10:46,VN30F2212,1071.30,1048.50,1059.60,128972,1059.60
2022-12-14 10:46,VN30F2301,1068.00,1049.20,1059.00,4555,1059.00
2022-12-14 10:46,VN30F2306,1048.80,1032.00,1038.60,54,1038.60
2022-12-14 10:47,VN30F2212,1071.30,1048.50,1059.60,130099,1059.60
2022-12-14 10:47,VN30F2301,1068.00,1049.20,1059.00,4601,1059.00
2022-12-14 10:48,VN30F2212,1071.30,1048.50,1059.60,131105,1059.60
2022-12-14 10:48,VN30F2301,1068.00,1049.20,1059.00,4615,1059.00
2022-12-14 10:49,VN30F2212,1071.30,1048.50,1059.60,132263,1059.60
2022-12-14 10:49,VN30F2301,1068.00,1049.20,1059.00,4669,1059.00
2022-12-14 10:49,VN30F2303,1055.10,1041.00,1047.30,80,1047.30
2022-12-14 10:50,VN30F2212,1071.30,1048.50,1059.60,133156,1059.60
2022-12-14 10:50,VN30F2301,1068.00,1049.20,1059.00,4737,1059.00
2022-12-14 10:51,VN30F2212,1071.30,1048.50,1059.60,134659,1059.60
2022-12-14 10:51,VN30F2301,1068.00,1049.20,1059.00,4810,1059.00
2022-12-14 10:51,VN30F2306,1048.80,1032.00,1038.60,55,1038.60
2022-12-14 10:52,VN30F2212,1071.30,1048.50,1059.60,135225,1059.60
2022-12-14 10:52,VN30F2301,1068.00,1049.20,1059.00,4843,1059.00
2022-12-14 10:53,VN30F2212,1071.30,1048.50,1059.60,135961,1059.60
2022-12-14 10:53,VN30F2301,1068.00,1049.20,1059.00,4855,1059.00
2022-12-14 10:54,VN30F2212,1071.30,1048.50,1059.60,136844,1059.60
2022-12-14 10:54,VN30F2301,1068.00,1049.20,1059.00,4864,1059.00
2022-12-14 10:55,VN30F2212,1071.30,1048.50,1059.60,138361,1059.60
2022-12-14 10:55,VN30F2301,1068.00,1049.20,1059.00,4902,1059.00
2022-12-14 10:56,VN30F2212,1071.30,1048.50,1059.60,139521,1059.60
2022-12-14 10:56,VN30F2301,1068.00,1049.20,1059.00,4919,1059.00
2022-12-14 10:57,VN30F2212,1071.30,1048.50,1059.60,140393,1059.60
2022-12-14 10:57,VN30F2301,1068.00,1049.20,1059.00,4938,1059.00
2022-12-14 10:57,VN30F2303,1055.10,1041.00,1047.30,81,1047.30
2022-12-14 10:58,VN30F2212,1071.30,1048.50,1059.60,142561,1059.60
2022-12-14 10:58,VN30F2301,1068.00,1049.20,1059.00,4988,1059.00
2022-12-14 10:58,VN30F2303,1055.10,1041.00,1047.30,82,1047.30
2022-12-14 10:59,VN30F2212,1071.30,1048.50,1059.60,144728,1059.60
2022-12-14 10:59,VN30F2301,1068.00,1049.20,1059.00,5102,1059.00
2022-12-14 10:59,VN30F2303,1055.10,1041.00,1047.30,84,1047.30
2022-12-14 11:00,VN30F2212,1071.30,1048.50,1059.60,146118,1059.60
2022-12-14 11:00,VN30F2301,1068.00,1049.20,1059.00,5127,1059.00
2022-12-14 11:01,VN30F2212,1071.30,1048.50,1059.60,147893,1059.60
2022-12-14 11:01,VN30F2301,1068.00,1049.20,1059.00,5162,1059.00
2022-12-14 11:02,VN30F2212,1071.30,1048.50,1059.60,149178,1059.60
2022-12-14 11:02,VN30F2301,1068.00,1049.20,1059.00,5167,1059.00
2022-12-14 11:03,VN30F2212,1071.30,1048.50,1059.60,151391,1059.60
2022-12-14 11:03,VN30F2301,1068.00,1049.20,1059.00,5245,1059.00
2022-12-14 11:04,VN30F2212,1071.30,1048.50,1059.60,153290,1059.60
2022-12-14 11:04,VN30F2301,1068.00,1049.20,1059.00,5272,1059.00
2022-12-14 11:05,VN30F2212,1071.30,1048.50,1059.60,154661,1059.60
2022-12-14 11:05,VN30F2301,1068.00,1049.20,1059.00,5284,1059.00
2022-12-14 11:06,VN30F2212,1071.30,1048.50,1059.60,155282,1059.60
2022-12-14 11:06,VN30F2301,1068.00,1049.20,1059.00,5295,1059.00
2022-12-14 11:07,VN30F2212,1071.30,1048.50,1059.60,156441,1059.60
2022-12-14 11:07,VN30F2301,1068.00,1049.20,1059.00,5326,1059.00
2022-12-14 11:08,VN30F2212,1071.30,1048.50,1059.60,157216,1059.60
2022-12-14 11:08,VN30F2301,1068.00,1049.20,1059.00,5361,1059.00
2022-12-14 11:09,VN30F2212,1071.30,1048.50,1059.60,158059,1059.60
2022-12-14 11:09,VN30F2301,1068.00,1049.20,1059.00,5388,1059.00
2022-12-14 11:10,VN30F2212,1071.30,1048.50,1059.60,160802,1059.60
2022-12-14 11:10,VN30F2301,1068.00,1049.20,1059.00,5459,1059.00
2022-12-14 11:10,VN30F2303,1055.10,1041.00,1047.30,86,1047.30
2022-12-14 11:10,VN30F2306,1048.80,1032.00,1038.60,56,1038.60
2022-12-14 11:11,VN30F2212,1071.30,1048.50,1059.60,162772,1059.60
2022-12-14 11:11,VN30F2301,1068.00,1049.20,1059.00,5516,1059.00
2022-12-14 11:12,VN30F2212,1071.30,1048.50,1059.60,164818,1059.60
2022-12-14 11:12,VN30F2301,1068.00,1049.20,1059.00,5555,1059.00
2022-12-14 11:13,VN30F2212,1071.30,1048.50,1059.60,166225,1059.60
2022-12-14 11:13,VN30F2301,1068.00,1049.20,1059.00,5629,1059.00
2022-12-14 11:14,VN30F2212,1071.30,1048.50,1059.60,167131,1059.60
2022-12-14 11:14,VN30F2301,1068.00,1049.20,1059.00,5639,1059.00
2022-12-14 11:15,VN30F2212,1071.30,1048.50,1059.60,168518,1059.60
